Altitude,Net Thrust,Mach ,TSFC
0,47.94594595,1.30692E-05,
0,47.02702703,0.013533117,
0,46.21621622,0.024367453,
0,45.40540541,0.043180511,
0,44.64864865,0.061980501,
0,43.72972973,0.078160123,
0,42.81081081,0.099658895,
0,41.94594595,0.126463746,
0,40.91891892,0.147988656,
0,39.83783784,0.185484082,
0,38.64864865,0.223005646,
0,37.83783784,0.249797428,
0,36.37837838,0.298022636,
0,35.02702703,0.34888128,
0,33.78378378,0.40237336,
0,32.64864865,0.450520153,
0,31.62162162,0.501300382,
0,30.59459459,0.552080611,
0,29.83783784,0.602795494,
5000,43.94594595,0.003639762,
5000,43.13513514,0.019793246,
5000,42.16216216,0.038645512,
5000,41.24324324,0.060144284,
5000,40,0.092359768,
5000,38.64864865,0.132580114,
5000,36.97297297,0.186176747,
5000,35.83783784,0.231663966,
5000,34.54054054,0.28250954,
5000,33.35135135,0.333328977,
5000,32.10810811,0.381501908,
5000,31.08108108,0.429622563,
5000,30,0.488394584,
5000,28.97297297,0.541834388,
5000,27.94594595,0.605912489,
5000,27.08108108,0.659313085,
10000,39.94594595,-0.003371844,
10000,38.75675676,0.023511422,
10000,37.78378378,0.050342412,
10000,36.64864865,0.079872184,
10000,35.40540541,0.12538554,
10000,34.10810811,0.170911966,
10000,33.08108108,0.213713472,
10000,32.16216216,0.256488839,
10000,31.13513514,0.307269068,
10000,29.89189189,0.37405902,
10000,28.86486486,0.430158398,
10000,27.78378378,0.496909143,
10000,26.81081081,0.560974175,
10000,25.94594595,0.61969392,
10000,25.24324324,0.675714883,
10000,24.7027027,0.715739192,
15000,29.02702703,0.227991531,
15000,28.10810811,0.278745622,
15000,27.18918919,0.337478436,
15000,26.27027027,0.401530399,
15000,25.45945946,0.454917926,
15000,24.81081081,0.518904543,
15000,24,0.582930368,
15000,23.18918919,0.652275341,
15000,22.59459459,0.71092974,
15000,21.83783784,0.774942496,
20000,24.43243243,0.250379006,
20000,23.72972973,0.311719118,
20000,23.02702703,0.375718804,
20000,22.64864865,0.423682628,
20000,22.16216216,0.47699174,
20000,21.72972973,0.52230906,
20000,21.35135135,0.564953735,
20000,20.97297297,0.615577134,
20000,20.54054054,0.6768519,
20000,20.10810811,0.738126666,
25000,19.62162162,0.38186131,
25000,19.24324324,0.435144284,
25000,18.81081081,0.491099901,
25000,18.64864865,0.5336923,
25000,18.37837838,0.578970411,
25000,18.21621622,0.632201108,
25000,18,0.693423598,
25000,17.83783784,0.757292592,
25000,17.62162162,0.815855507,
25000,17.35135135,0.903686811,
30000,12.32432432,0.455434158,
30000,12.32432432,0.503306498,
30000,12.37837838,0.556484918,
30000,12.43243243,0.607003764,
30000,12.59459459,0.660156046,
30000,12.75675676,0.7266062,
30000,12.91891892,0.801035078,
30000,13.02702703,0.875477024,
30000,13.02702703,0.941966386,
35000,12.32432432,0.455434158,
35000,12.32432432,0.503306498,
35000,12.37837838,0.556484918,
35000,12.43243243,0.607003764,
35000,12.59459459,0.660156046,
35000,12.75675676,0.7266062,
35000,12.91891892,0.801035078,
35000,13.02702703,0.875477024,
35000,13.02702703,0.941966386,
40000,9.621621622,0.506619531,
40000,9.621621622,0.562470594,
40000,9.675675676,0.626287312,
40000,9.675675676,0.684797951,
40000,9.72972973,0.748614669,
40000,9.783783784,0.817750536,
40000,10,0.892166344,
40000,10.10810811,0.953310419,
45000,7.567567568,0.589562967,
45000,7.513513514,0.6454271,
45000,7.621621622,0.706571175,
45000,7.621621622,0.767741387,
45000,7.72972973,0.823566313,
45000,7.783783784,0.895361754,
45000,7.783783784,0.937914946,